name;kernel_start;kernel_stop;n_kernels;max_epoch_duration;include;group;notes
velocity;;;;;1;grossKinematics;
bodyAngle;;;;;1;grossKinematics;
buttHeight;;;;;1;grossKinematics;
bodyAngle_vel;;;;;1;grossKinematics;
buttHeight_vel;;;;;1;grossKinematics;
paw1LH_x;;;;;1;pawKinematics;
paw2LF_x;;;;;1;pawKinematics;
paw3RF_x;;;;;1;pawKinematics;
paw4RH_x;;;;;1;pawKinematics;
paw1LH_y;;;;;1;pawKinematics;
paw2LF_y;;;;;1;pawKinematics;
paw3RF_y;;;;;1;pawKinematics;
paw4RH_y;;;;;1;pawKinematics;
paw1LH_z;;;;;1;pawKinematics;
paw2LF_z;;;;;1;pawKinematics;
paw3RF_z;;;;;1;pawKinematics;
paw4RH_z;;;;;1;pawKinematics;
paw1LH_x_vel;;;;;1;pawKinematics;
paw2LF_x_vel;;;;;1;pawKinematics;
paw3RF_x_vel;;;;;1;pawKinematics;
paw4RH_x_vel;;;;;1;pawKinematics;
paw1LH_y_vel;;;;;1;pawKinematics;
paw2LF_y_vel;;;;;1;pawKinematics;
paw3RF_y_vel;;;;;1;pawKinematics;
paw4RH_y_vel;;;;;1;pawKinematics;
paw1LH_z_vel;;;;;1;pawKinematics;
paw2LF_z_vel;;;;;1;pawKinematics;
paw3RF_z_vel;;;;;1;pawKinematics;
paw4RH_z_vel;;;;;1;pawKinematics;
paw4RH_stride;;;10;0.5;1;pawKinematics;
whiskerAngle;;;;;1;whiskers;
whiskerContact;0;0.25;10;;1;whiskers;
jaw;;;;;1;face;
ear;;;;;1;face;
nose;;;;;1;face;
obsToWisk;;;10;9999;1;obstacle;
light;;;10;9999;1;vision;should be better way of handling light on predictor, eg lightToWisk, or basis function on distance to obs for light on trials only…
reward_normal;-2;2;20;;1;reward;
lick;-0.1;0.1;10;;1;reward;
