date,run4,run5,run6,run7,run8,sen1,sen2,sen3,sen4_mtc_,sen5,sen6,den1,den2,mtc1,mtc2_sen_,mtc3,mtc4,mtc5,mtc6,den3,den4,den5,den6,den7,den8,den9,den10,den11,den12,den14,den15,den16,vgt1,vgt2,vgt3,den17,den18,den19,pcp2_semi_learned_,pcp3_learned_,pcp4_fast_,pcp5_gaveUp_,pcp6_learned_,pcp7_gaveUp_,pcp8_fast_,sen7,sen8,sen9,sen10,sen11,sen12,vgt4,vgt5,vgt6,vgt7,vgt8,vgt9,vgt10
171224,19.3,19.8,21.6,20.1,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171225,19.1,20,21.4,19.9,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171226,19.3,19.6,21.8,20,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171227,19.7,19.8,20.9,20.4,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171228,19.8,20.1,21.8,20.5,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171229,19.3,20,21.3,20.1,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171230,19.9,20.3,21.2,20.3,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171231,19.6,20.4,21.7,19.9,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180101,19.4,20.1,20.9,19.9,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180102,19.8,20.1,21.1,19.8,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180103,19.9,20.2,21.3,19.9,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180104,19.3,20.1,21.7,20.5,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180105,19.4,20,21.6,19.8,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180106,19.6,19.9,21.7,19.8,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180107,19.4,20.4,21.3,20.1,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180108,19.6,20.4,20.9,19.7,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180109,19.6,19.9,20.9,19.9,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180110,19.8,19.8,21.4,20.7,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
